Id,Français,English
1,Angola,
2,Afghanistan,
3,Albanie,
4,Algérie,
5,Allemagne,
6,Ancienne République yougoslave de Macédoine (ARYM),
7,Andorre,
8,Antigua-et-Barbuda,
9,Arabie Saoudite,
10,Argentine,
11,Arménie,
12,Australie,
13,Autriche,
14,Azerbaïdjan,
15,Bahamas,
16,Bahreïn,
17,Bangladesh,
18,Barbade,
19,Belgique,
20,Belize,
21,Bénin,
22,Bhoutan,
23,Biélorussie,
24,Birmanie,
25,Bolivie,
26,Bosnie-Herzégovine,
27,Botswana,
28,Brésil,
29,Brunei,
30,Bulgarie,
31,Burkina Faso,
32,Burundi,
33,Cabo Verde,
34,Cambodge,
35,Cameroun,
36,Canada,
37,Chili,
38,Chine,
39,Chypre,
40,Colombie,
41,Comores,
42,Congo,
43,Corée du Nord,
44,Corée du Sud,
45,Costa Rica,
46,Côte d’Ivoire,
47,Croatie,
48,Cuba,
49,Danemark,
50,Djibouti,
51,Dominique,
52,Egypte,
53,Emirats arabes unis,
54,Equateur,
55,Erythrée,
56,Espagne,
57,Estonie,
58,Etats-Unis,
59,Ethiopie,
60,Finlande,
61,Gabon,
62,Gambie,
63,Géorgie,
64,Ghana,
65,Grèce,
66,Grenade,
67,Guatemala,
68,Guinée,
69,Guinée Equatoriale,
70,Guinée-Bissao,
71,Guyana,
72,Haïti,
73,Honduras,
74,Hong Kong,
75,Hongrie,
76,Iles Cook,
77,Iles Fidji,
78,Iles Salomon,
79,Inde,
80,Indonésie,
81,Irak,
82,Iran,
83,Irlande,
84,Islande,
85,Israël/Territoires palestiniens,
86,Italie,
87,Jamaïque,
88,Japon,
89,Jordanie,
90,Kazakhstan,
91,Kenya,
92,Kirghizstan,
93,Kosovo,
94,Koweït,
95,Laos,
96,Lesotho,
97,Lettonie,
98,Liban,
99,Libéria,
100,Libye,
101,Lituanie,
102,Luxembourg,
103,Macao,
104,Madagascar,
105,Malaisie,
106,Malawi,
107,Maldives,
108,Mali,
109,Malte,
110,Maroc,
111,Maurice,
112,Mauritanie,
113,Mexique,
114,Moldavie,
115,Monaco,
116,Mongolie,
117,Monténégro,
118,Mozambique,
119,Namibie,
120,Népal,
121,Nicaragua,
122,Niger,
123,Nigéria,
124,Norvège,
125,Nouvelle-Zélande,
126,Oman,
127,Ouganda,
128,Ouzbékistan,
129,Pakistan,
130,Panama,
131,Papouasie-Nouvelle-Guinée,
132,Paraguay,
133,Pays-Bas,
134,Pérou,
135,Philippines,
136,Pologne,
137,Portugal,
138,Qatar,
139,République centrafricaine,
140,République démocratique du Congo,
141,République des Palaos,
142,République Dominicaine,
143,République Tchèque,
144,Roumanie,
145,Royaume-Uni,
146,Russie,
147,Rwanda,
148,Saint-Christophe-et-Niévès,
149,Saint-Vincent-et-les-Grenadines,
150,Sainte-Lucie,
151,Salvador,
152,Samoa,
153,Sao Tomé-et-Principe,
154,Sénégal,
155,Serbie,
156,Seychelles,
157,Sierra Leone,
158,Singapour,
159,Slovaquie,
160,Slovénie,
161,Somalie,
162,Soudan,
163,Soudan du Sud,
164,Sri Lanka,
165,Suède,
166,Suisse,
167,Suriname,
168,Swaziland,
169,Syrie,
170,Tadjikistan,
171,Taïwan,
172,Tanzanie,
173,Tchad,
174,Thaïlande,
175,Timor Est,
176,Togo,
177,Tonga,
178,Trinité et Tobago,
179,Tunisie,
180,Turkmenistan,
181,Turquie,
182,Ukraine,
183,Uruguay,
184,Vanuatu,
185,Venezuela,
186,Vietnam,
187,Yemen,
188,Zambie,
189,Zimbabwe,
190,,
191,,
192,,
193,,
194,,
195,,
196,,
197,,
198,,
199,,
200,,
201,,
202,,
203,,
204,,
205,,
206,,
207,,
208,,
209,,
210,,
211,,
212,,
213,,
214,,
215,,
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,,
225,,
226,,
227,,
228,,
229,,
230,,
231,,
232,,
233,,
234,,
235,,
236,,
237,,
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,,
247,,
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,,
257,,
258,,
259,,
